0.00%, `
0.00%, ^
0.00%, ~
0.00%, <
0.00%, =
0.00%, >
0.00%, |
0.00%, _
0.00%, /
0.00%, {
0.00%, }
0.00%, @
0.00%, $
0.00%, *
0.00%, \
0.00%, &
0.00%, #
0.00%, %
0.00%, +
0.00%, €
0.00%, 
0.00%, 0
0.00%, 3
0.00%, 4
0.00%, 5
0.00%, 6
0.00%, 7
0.00%, 8
0.00%, 9
0.00%, q
0.00%, Q
0.00%, x
0.00%, X
0.00%, Y
0.01%, (
0.01%, )
0.01%, [
0.01%, ]
0.01%, 1
0.01%, 2
0.02%, -
0.02%, C
0.03%, "
0.03%, y
0.04%, O
0.05%, '
0.06%, !
0.07%, ?
0.09%, j
0.09%, P
0.10%, Z
0.13%, I
0.14%, F
0.14%, V
0.15%, T
0.16%, N
0.18%, L
0.19%, B
0.19%, J
0.21%, :
0.22%, U
0.23%, A
0.23%, M
0.25%, ;
0.25%, K
0.28%, W
0.30%, D
0.35%, p
0.37%, G
0.38%, E
0.45%, R
0.48%, v
0.50%, k
0.51%, S
0.52%, H
0.66%, .
0.70%, z
0.72%, f
1.08%, w
1.28%, b
1.53%, ,
1.70%, g
1.77%, o
1.89%, m
2.01%, c
2.41%, l
3.08%, u
3.79%, h
3.99%, t
4.38%, a
4.40%, s
5.03%, d
5.20%, r
5.82%, i
8.04%, n
12.57%, e
16.20%,  
